ID	Time	Virus	Censoring			
SP2	1	100	1			
SP2	2	100	1			
SP2	3	25000.00008	0			
SP2	4	200.000002	0			
SP2	5	100	1			
SP2	6	100	1			
SP2	7	100	1			
SP3	1	29999.99967	0			
SP3	2	15000000.03	0			
SP3	3	57999.99952	0			
SP3	4	100	1			
SP3	5	100	1			
SP3	6	100	1			
SP3	7	100	1			
SP4	1	100	1			
SP4	2	1699.999995	0			
SP4	3	239999.9991	0			
SP4	4	100	1			
SP4	5	100	1			
SP4	6	100	1			
SP4	7	100	1			
SP5	1	100	1			
SP5	2	299.9999967	0			
SP5	3	1200.000011	0			
SP5	4	100	1			
SP5	5	100	1			
SP5	6	100	1			
SP5	7	100	1			
SP6	1	100	1			
SP6	2	800.0000055	0			
SP6	3	2999.999967	0			
SP6	4	100	1			
SP6	5	100	1			
SP6	6	100	1			
SP6	7	100	1			
SP8	1	100	1			
SP8	2	200.000002	0			
SP8	3	2399.999991	0			
SP8	4	200.000002	0			
SP8	5	100	1			
SP8	6	100	1			
SP8	7	100	1			
SP9	1	100	1			
SP9	2	969999.9905	0			
SP9	3	869999.9948	0			
SP9	4	399.9999988	0			
SP9	5	100	1			
SP9	6	100	1			
SP9	7	100	1			
SP10	1	100	1			
SP10	2	200.000002	0			
SP10	3	800.0000055	0			
SP10	4	100	1			
SP10	5	100	1			
SP10	6	100	1			
SP10	7	100	1			
SP11	1	100	1			
SP11	2	1800.00002	0			
SP11	3	41000.00031	0			
SP11	4	2000.00002	0			
SP11	5	299.9999967	0			
SP11	6	100	1			
SP12	1	4999.99995	0			
SP12	2	4800000.029	0			
SP12	3	480000.0029	0			
SP12	4	499.999995	0			
SP12	5	100	1			
SP12	6	100	1			
SP12	7	100	1			
						
						
						
						
						
						
						
