ID	Time	Virus	Censoring
SP1	1	100	1
SP1	2	100	1
SP1	3	299.9999967	0
SP1	4	100	1
SP1	5	100	1
SP1	6	100	1
SP1	7	100	1
SP2	1	100	1
SP2	2	100	1
SP2	3	100	1
SP2	4	100	1
SP2	5	3300.000001	0
SP2	6	3199.999998	0
SP2	7	100	1
SP3	1	3800.00003	0
SP3	2	3599999.994	0
SP3	3	12999999.93	0
SP3	4	1800000.02	0
SP3	5	3600000.002	0
SP3	6	81999.99993	0
SP4	1	100	1
SP4	2	4400.000036	0
SP4	3	200.000002	0
SP4	4	100	1
SP4	5	100	1
SP4	6	100	1
SP4	7	100	1
SP5	1	100	1
SP5	2	169999.9995	0
SP5	3	2500.000008	0
SP5	4	100	1
SP5	5	100	1
SP5	6	100	1
SP5	7	100	1
SP6	1	100	1
SP6	2	100	1
SP6	3	100	1
SP6	4	100	1
SP6	5	100	1
SP6	6	899.9999991	0
SP6	7	100	1
SP7	1	100	1
SP7	2	100	1
SP7	3	100	1
SP7	4	1500.000003	0
SP7	5	100	1
SP7	6	100	1
SP7	7	100	1
SP8	1	100	1
SP8	2	100	1
SP8	3	100	1
SP8	4	399.9999988	0
SP8	5	1600.000001	0
SP8	6	100	1
SP8	7	100	1
SP9	1	100	1
SP9	2	1000	0
SP9	3	1100.000012	0
SP9	4	100	1
SP9	5	100	1
SP9	6	100	1
SP9	7	100	1
SP10	1	100	1
SP10	2	499.999995	0
SP10	3	100	1
SP10	4	100	1
SP10	5	100	1
SP10	6	100	1
SP10	7	100	1
SP13	1	499.999995	0
SP13	2	100	1
SP13	3	100	1
SP13	4	100	1
SP13	5	100	1
SP13	6	100	1
SP13	7	100	1
SP14	1	100	1
SP14	2	100	1
SP14	3	100	1
SP14	4	1699.999995	0
SP14	5	100	1
SP14	6	100	1
SP14	7	100	1
